ICDId;ICDCode;ICDName;ICDNameTranslated
3747;I25.0;Aterosklerotik kardiyovasküler hastalık;Atherosclerotic cardiovascular disease
3748;I25.1;Aterosklerotik kalp hastalığı;Atherosclerotic heart disease
3749;I25.2;Eski miyokard enfarktüsü;Old myocardial infarction
3750;I25.3;Kalp anevrizması;Heart aneurysm
3751;I25.4;Koroner arter anevrizması;Coronary artery aneurysm
3752;I25.5;İskemik kardiyopati;Ischemic cardiopathy
3753;I25.6;Sessiz miyokardiyal iskemi;Silent myocardial ischemia
3754;I25.8;Kronik iskemik kalp hastalığının diğer formları;Other forms of chronic ischemic heart disease
3755;I25.9;Kronik iskemik kalp hastalığı, tanımlanmamış;Chronic ischemic heart disease, unspecified
3756;I26;Pulmoner embolizm;Pulmonary embolism
3757;I26.0;Pulmoner embolizm, akut kor pulmonale ile birlikte;Pulmonary embolism with acute cor pulmonale
3758;I26.9;Pulmoner embolizm, akut kor pulmonale olmaksızın;Pulmonary embolism without acute cor pulmonale
3759;I27;Pulmoner kalp hastalıkları, diğer;Pulmonary heart disease, other
3760;I27.0;Primer pulmoner hipertansiyon;Primary pulmonary hypertension
3761;I27.1;Kifoskolyotik kalp hastalığı;Kyphoscoliotic heart disease
3762;I27.8;Pulmoner kalp hastalıkları, diğer, tanımlanmış;Pulmonary heart disease, other specified
3763;I27.9;Pulmoner kalp hastalığı, tanımlanmamış;Pulmonary heart disease, unspecified
3764;I28;Pulmoner damarların diğer hastalıkları;Other diseases of pulmonary vessels
3765;I28.0;Pulmoner damarların arteriovenöz fistülü;Arteriovenous fistula of pulmonary vessels
3766;I28.1;Pulmoner arter anevrizması;Pulmonary artery aneurysm
3767;I28.8;Pulmoner damarların diğer tanımlanmış hastalıkları;Other specified diseases of pulmonary vessels
3768;I28.9;Pulmoner damarların hastalığı, tanımlanmamış;Pulmonary disease of the arteries, unspecified
3769;I30;Akut perikardit;Acute pericarditis
3770;I30.0;Akut idiopatik perikardit, nonspesifik;Acute idiopathic pericarditis, nonspecific
3771;I30.1;Enfektif perikardit;infective pericarditis
3772;I30.8;Akut perikardit, diğer formları;Acute pericarditis, other forms of
3773;I30.9;Akut perikardit, tanımlanmamış;Acute pericarditis, unspecified
3774;I31;Perikardın diğer hastalıkları;Other diseases of pericardium
3775;I31.0;Kronik adezif perikardit;Chronic adhesive pericarditis
3776;I31.1;Kronik konstriktif perikardit;Chronic constrictive pericarditis
3777;I31.2;Hemoperikardium, başka yerde sınıflanmamış;Hemopericardium, not elsewhere classified
3778;I31.3;Perikardial effüzyon (enflamatuvar olmayan);Pericardial effusion (noninflammatory)
3779;I31.8;Perikardiumun diğer tanımlanmış hastalıkları;Other specified diseases of pericardium
3780;I31.9;Perikard hastalığı, tanımlanmamış;Pericardial disease, unspecified
3781;I32*;Perikardit, başka yerde sınıflanmış hastalıklarda;Pericarditis in diseases classified elsewhere
3782;I32.0*;Perikardit, başka yerde sınıflanmış bakteriyel hastalıklarda;Pericarditis, bacterial diseases classified elsewhere
3783;I32.1*;Perikardit, başka yerde sınıflanmış enfeksiyöz ve parazitik hastalıklarda;Pericarditis in other infectious and parasitic diseases classified elsewhere
3784;I32.8*;Perikardit, başka yerde sınıflanmış hastalıklarda;Pericarditis in diseases classified elsewhere
3785;I33;Akut ve subakut endokardit;Acute and subacute endocarditis
3786;I33.0;Akut ve subakut enfektif endokardit;Acute and subacute endocarditis
3787;I33.9;Akut endokardit, tanımlanmamış;Acute endocarditis, unspecified
3788;I34;Mitral kapak bozuklukları, romatizmal olmayan;Mitral valve disorders nonrheumatic
3789;I34.0;Mitral kapak yetmezliği;Mitral insufficiency
3790;I34.1;Mitral kapak prolapsusu;Mitral valve prolapse
3791;I34.2;Romatizmal olmayan mitral kapak stenozu;non-rheumatic mitral stenosis,
3792;I34.8;Romatizmal olmayan mitral kapak bozuklukları, diğer;non-rheumatic mitral valve disorders, other
3793;I34.9;Romatizmal olmayan mitral kapak bozukluğu, tanımlanmamış;non-rheumatic mitral valve disorder, unspecified
3794;I35;Aortik kapak bozuklukları, romatizmal olmayan;Aortic valve disorders nonrheumatic
3795;I35.0;Aortik kapak stenozu;Aortic valve stenosis
3796;I35.1;Aortik kapak yetmezliği;Aortic valve regurgitation
3797;I35.2;Aortik kapak stenozu, yetmezlikle birlikte;Aortic valve stenosis with insufficiency
3798;I35.8;Aortik kapak diğer bozuklukları;Other aortic valve disorders
3799;I35.9;Aortik kapak bozukluğu, tanımlanmamış;Aortic valve disorder, unspecified
3800;I36;Trikuspid kapak bozuklukları, romatizmal olmayan;Tricuspid valve disorders nonrheumatic
3801;I36.0;Romatizmal olmayan triküspid kapak stenozu;nonrheumatic tricuspid valve stenosis
3802;I36.1;Romatizmal olmayan triküspid kapak yetmezliği;nonrheumatic tricuspid valve regurgitation
3803;I36.2;Romatizmal olmayan triküspid kapak stenozu, yetmezlikle birlikte;nonrheumatic tricuspid valve stenosis with insufficiency
3804;I36.8;Romatizmal olmayan triküspid kapak diğer bozuklukları;Other disorders nonrheumatic tricuspid valve
3805;I36.9;Romatizmal olmayan triküspid kapak bozukluğu, tanımlanmamış;nonrheumatic tricuspid valve disorder, unspecified
3806;I37;Pulmoner kapak bozuklukları;Pulmonary valve disorders
3807;I37.0;Pulmoner kapak stenozu;Pulmonary valve stenosis
3808;I37.1;Pulmoner kapak yetmezliği;Pulmonary valve insufficiency
3809;I37.2;Pulmoner kapak stenozu, yetmezlikle;Pulmonary valve stenosis, insufficiency
3810;I37.8;Pulmoner kapak diğer bozuklukları;Other disorders of the pulmonary valve
3811;I37.9;Pulmoner kapak bozukluğu, tanımlanmamış;Pulmonary valve disorder, unspecified
3812;I38;Endokardit, kapak tanımlanmamış;Endocarditis, valve unspecified
3813;I39*;Endokardit ve kalp kapak bozuklukları, başka yerde sınıflanmış hastalıklarda;Endocarditis and heart valve disorders in diseases classified elsewhere
3814;I39.0*;Mitral kapak bozuklukları, başka yerde sınıflanmış hastalıklarda;Mitral valve disorders in diseases classified elsewhere
3815;I39.1*;Aortik kapak bozuklukları, başka yerde sınıflanmış hastalıklarda;Aortic valve disorders in diseases classified elsewhere
3816;I39.2*;Triküspid kapak bozuklukları, başka yerde sınıflanmış hastalıklarda;Tricuspid valve disorders in diseases classified elsewhere
3817;I39.3*;Pulmoner kapak bozuklukları, başka yerde sınıflanmış hastalıklarda;Pulmonary valve disorders in diseases classified elsewhere
3818;I39.4*;Birden fazla kapak bozuklukları, başka yerde sınıflanmış hastalıklarda;Multiple valve disorders in diseases classified elsewhere
3819;I39.8*;Endokardit, kapak tanımlanmamış, başka yerde sınıflanmış hastalıklarda;Endocarditis, valve unspecified, in diseases classified elsewhere
3820;I40;Akut miyokardit;Acute myocarditis
3821;I40.0;Enfektif miyokardit;Infective myocarditis
3822;I40.1;İzole miyokardit;isolated myocarditis
3823;I40.8;Akut miyokarditler, diğer;Acute myocarditis, other
3824;I40.9;Akut miyokardit, tanımlanmamış;Acute myocarditis, unspecified
3825;I41*;Miyokardit, başka yerde sınıflanmış hastalıklarda;Myocarditis in diseases classified elsewhere
3826;I41.0*;Miyokardit, başka yerde sınıflanmış bakteriyel hastalıklarda;Myocarditis, bacterial diseases classified elsewhere
3827;I41.1*;Miyokardit, başka yerde sınıflanmış viral hastalıklarda;Myocarditis, viral diseases classified elsewhere
3828;I41.2*;Miyokardit, başka yerde sınıflanmış enfeksiyöz ve parazitik hastalıklarda;Myocarditis in other infectious and parasitic diseases classified elsewhere
3829;I41.8*;Miyokardit, başka yerde sınıflanmış hastalıklarda;Myocarditis in diseases classified elsewhere
3830;I42;Kardiyomiyopati;cardiomyopathy
3831;I42.0;Dilate kardiyomiyopati;Dilated cardiomyopathy
3832;I42.1;Obstrüktif hipertrofik kardiyomiyopati;Obstructive hypertrophic cardiomyopathy
3833;I42.2;Hipertrofik diğer kardiyomiyopatiler;Other hypertrophic cardiomyopathy
3834;I42.3;Endokardiyal (eozinofilik) hastalık;Endocardial (eosinophilic) disease
3835;I42.4;Endokardiyal fibroelastozis;endocardial fibroelastozis
3836;I42.5;Restrüktif diğer kardiyomiyopatiler;Restrüktif other cardiomyopathies
3837;I42.6;Alkolik kardiyomiyopati;Alcoholic cardiomyopathy
3838;I42.7;Kardiyomiyopatiler, ilaçlar ve diğer dış etkenlere bağlı;Cardiomyopathy due to drugs and other external factors
3839;I42.8;Kardiyomiyopatiler, diğer;Other cardiomyopathies
3840;I42.9;Kardiyomiyopati, tanımlanmamış;Cardiomyopathy, unspecified
3841;I43*;Kardiyomiyopati, başka yerde sınıflanmış hastalıklarda;Cardiomyopathy in diseases classified elsewhere
3842;I43.0*;Kardiyomiyopati, başka yerde sınıflanmış enfeksiyöz ve parazitik hastalıklarda;Cardiomyopathy in infectious and parasitic diseases classified elsewhere
3843;I43.1*;Kardiyomiyopati, metabolik hastalıklarda;Cardiomyopathy, metabolic diseases
3844;I43.2*;Kardiyomiyopati, nütrisyonel hastalıklarda;Cardiomyopathy in nutritional diseases
3845;I43.8*;Kardiyomiyopati, başka yerde sınıflanmış hastalıklarda;Cardiomyopathy in diseases classified elsewhere
3846;I44;Atriyoventriküler ve sol anadal-dal bloğu;Atrioventricular and left bundle-branch block
3847;I44.0;Atriyoventriküler blok, birinci derece;Atrioventricular block, first degree
3848;I44.1;Atriyoventriküler blok, ikinci derece;Atrioventricular block, quadratic
3849;I44.2;Atriyoventriküler blok, komplet;Atrioventricular block, complete
3850;I44.3;Atriyoventriküler bloklar, diğer ve tanımlanmamış;Atrioventricular block, other and unspecified
3851;I44.4;Sol anterior fasiküler blok;The left anterior fascicular block
3852;I44.5;Sol posterior fasiküler blok;Left posterior fascicular block
3853;I44.6;Fasiküler blok, diğer ve tanımlanmamış;Fascicular block, other and unspecified
3854;I44.7;Sol-dal bloğu, tanımlanmamış;Left bundle-branch block, unspecified
3855;I45;İleti bozuklukları diğer;Other conduction disorders
3856;I45.0;Sağ fasiküler blok;Right fascicular block
3857;I45.1;Sağ-dal bloğu diğer ve tanımlanmamış;Other and unspecified right bundle-branch block
3858;I45.2;Bifasiküler blok;Bifascicular block
3859;I45.3;Trifasiküler blok;Trifascicular block
3860;I45.4;İntraventriküler blok, nonspesifik;Intraventricular block nonspecific
3861;I45.5;Kalp blokları diğer, tanımlanmış;Heart block Other specified
3862;I45.6;Ön-uyarılma sendromu;Pre-excitation syndrome
3863;I45.8;İleti bozuklukları diğer, tanımlanmış;Other conduction abnormalities, defined
3864;I45.9;İleti bozuklukları, tanımlanmamış;Message disorder, unspecified
3865;I46;Kardiyak arrest;Cardiac arrest
3866;I46.0;Kardiyak arrest, başarılı resüssitasyonun yapıldığı;Cardiac arrest with successful resuscitation is done
3867;I46.1;Ani kardiyak ölüm;Sudden cardiac death
3868;I46.9;Kardiyak arrest, tanımlanmamış;Cardiac arrest, unspecified
3869;I47;Paroksismal taşikardi;Paroxysmal tachycardia
3870;I47.0;Re-entran ventriküler aritmi;Re-entrant ventricular arrhythmias
3871;I47.1;Supraventriküler taşikardi;Supraventricular tachycardia
3872;I47.2;Ventriküler taşikardi;Ventricular tachycardia
3873;I47.9;Paroksismal taşikardi, tanımlanmamış;Paroxysmal tachycardia, unspecified
3874;I48;Atrial fibrilasyon ve flutter;Atrial fibrillation and flutter
3875;I49;Kardiyak aritmiler, diğer;Cardiac arrhythmias, other
3876;I49.0;Ventriküler fibrilasyon ve flutter;Ventricular fibrillation and flutter
3877;I49.1;Atrial prematür depolarizasyon;Atrial premature depolarization
3878;I49.2;Junctional prematür depolarizasyon;Junctional premature depolarization
3879;I49.3;Ventriküler prematür depolarizasyon;Ventricular premature depolarization
3880;I49.4;Prematür depolarizasyon, diğer ve tanımlanmamış;Premature depolarization, other and unspecified
3881;I49.5;Hasta sinüs sendromu;Sick sinus syndrome
3882;I49.8;Kardiyak aritmiler diğer, tanımlanmış;Other cardiac arrhythmias, defined
3883;I49.9;Kardiyak aritmi, tanımlanmamış;Cardiac arrhythmia, unspecified
3884;I50;Kalp yetmezliği;Heart failure
3885;I50.0;Konjestif kalp yetmezliği;Congestive heart failure
3886;I50.1;Sol ventrikül yetmezliği;Left ventricular failure
3887;I50.9;Kalp yetmezliği, tanımlanmamış;Heart failure, unspecified
3888;I51;Kalp hastalıklarının komplikasyonları ve sınırları belirsiz tanımları;Complications and vague descriptions of heart disease
3889;I51.0;Kardiak septal defekt, kazanılmış;Cardiac septal defect, acquired
3890;I51.1;Korda tendinea rüptürü, başka yerde sınıflanmamış;Rupture of chordae tendineae, not elsewhere classified
3891;I51.2;Papiller kas rüptürü, başka yerde sınıflanmamış;Rupture of papillary muscle, not elsewhere classified
3892;I51.3;İntrakardiyak trombozis, başka yerde sınıflanmamış;Intracardiac thrombosis, not elsewhere classified
3893;I51.4;Miyokardit, tanımlanmamış;Myocarditis, unspecified
3894;I51.5;Miyokardiyal dejenerasyon;myocardial degeneration
3895;I51.6;Kardiyovasküler hastalık, tanımlanmamış;Cardiovascular disease, unspecified
3896;I51.7;Kardiyomegali;cardiomegaly
3897;I51.8;Kalp hastalıkları, diğer sınırları belirsiz;Heart disease, other boundaries are unclear
3898;I51.9;Kalp hastalığı, tanımlanmamış;Heart disease, unspecified
3899;I52*;Kalp diğer bozuklukları, başka yerde sınıflanmış hastalıklarda;Other heart disorders in other diseases classified elsewhere
3900;I52.0*;Kalbin diğer bozuklukları, başka yerde sınıflanmış bakteriyel hastalıklarda;Other heart disorders in bacterial diseases classified elsewhere
3901;I52.1*;Kalbin diğer bozuklukları, başka yerde sınıflanmış enfeksiyöz ve parazitik hastalıklarda ;Other heart disorders in other infectious and parasitic diseases classified elsewhere 
3902;I52.8*;Kalbin diğer bozuklukları, başka yerde sınıflanmış hastalıklarda;Other heart disorders in diseases classified elsewhere
3903;I60;Subaraknoid hemoraji;Subarachnoid hemorrhage
3904;I60.0;Subaraknoid hemoraji, karotid sifon ve bifürkasyondan kaynaklanan;Subarachnoid haemorrhage caused by carotid siphon and bifurcation
3905;I60.1;Subaraknoid hemoraji, orta serebral arterden kaynaklanan;Subarachnoid haemorrhage caused by middle cerebral artery
3906;I60.2;Subaraknoid hemoraji, ön kominikan arterden kaynaklanan;Subarachnoid haemorrhage, pre communican arising from artery
3907;I60.3;Subaraknoid hemoraji, arka kominikan arterden kaynaklanan;Subarachnoid hemorrhage, caused by artery rear communican
3908;I60.4;Subaraknoid hemoraji, baziler arterden kaynaklanan;Subarachnoid haemorrhage resulting from basilar artery
3909;I60.5;Subaraknoid hemoraji, vertebral arterden kaynaklanan;Subarachnoid haemorrhage resulting from vertebral artery
3910;I60.6;Subaraknoid hemoraji, diğer kafa içi arterlerden kaynaklanan;Subarachnoid haemorrhage from other intracranial arteries
3911;I60.7;Subaraknoid hemorajiler, kafa içi arterlerden kaynaklanan, tanımlanmamış;Subarachnoid haemorrhage, resulting from intracranial artery, unspecified
3912;I60.8;Subaraknoid diğer hemorajiler;Other subarachnoid haemorrhage
3913;I60.9;Subaraknoid hemoraji, tanımlanmamış;Subarachnoid haemorrhage, unspecified
3914;I61;İntraserebral hemoraji;Intracerebral haemorrhage
3915;I61.0;Hemisferde intraserebral hemoraji, subkortikal;Intracerebral haemorrhage in hemisphere, subcortical
3916;I61.1;Hemisferde intraserebral hemoraji, kortikal;Intracerebral haemorrhage in hemisphere, cortical
3917;I61.2;Hemisferde intraserebral hemoraji, tanımlanmamış;Intracerebral haemorrhage in hemisphere, unspecified
3918;I61.3;İntraserebral hemoraji, beyin sapında;Intracerebral haemorrhage in brain stem
3919;I61.4;İntraserebral hemoraji, serebellumda;Intracerebral haemorrhage, cerebellum
3920;I61.5;İntraserebral hemoraji, intraventriküler;Intracerebral haemorrhage, intraventricular
3921;I61.6;İntraserebral hemoraji, birden fazla lokalizasyonlu;Intracerebral haemorrhage, multiple localized
3922;I61.8;İntraserebral diğer hemorajiler;Other intracerebral haemorrhage
3923;I61.9;İntraserebral hemoraji, tanımlanmamış;Intracerebral haemorrhage, unspecified
3924;I62;Kafa içi travmatik olmayan diğer hemoraji;other nontraumatic hemorrhage inside the head
3925;I62.0;Subdural hemoraji (akut) (travmatik olmayan);Subdural hemorrhage (acute) (nontraumatic)
